,Max changes,Average changes,Loss,Accuracy
0,Original,0.0,0.006779521340504289,1.0
1,10,8.465,0.19926394820213317,0.8799999952316284
2,20,16.55,0.46676931619644163,0.7049999833106995
3,30,22.97,0.6950852608680725,0.574999988079071
4,40,28.045,0.8729562401771546,0.44999998807907104
5,60,35.04,1.1323858213424682,0.28999999165534973
6,80,39.375,1.2776202583312988,0.14000000059604645
7,100,41.445,1.3135853242874145,0.07999999821186066
8,120,42.85,1.3276201009750366,0.06499999761581421
